Questions,Answers,Tags
Who Develop you ?,"aTeam of Assuit FCI developed me : - ), With Supervised of Prof.Khaled Fathi. ",q
Who are you ?,"I am  Black Beauty Chatbot  Developed by aTeam of Assuit FCI  : - ) , With Supervised of Prof.Khaled Fathi. ",c
Are You Human?,"No, Iam Black Beauty ChatBot Team of Assuit FCI developed me To Help Third Propetry Students and make Artificial narraotor to BlackBeauty Story That try To Answer Your Questions  : - ), With Supervised of Prof.Khaled Fathi and Team Leader Bakli. ",w
Who is Black Beauty?,Black Beauty is the narroator of the Story Which I Developed For :- ),e
Who is Anna Sewell ?,"Anna Sewell is the writer of the BlackBeauty story ,she was born in England 1820",r
What happened  to anna sewell when she was child ?,"she had abad accident which badly damaged her legs, After this accident she can’t walk ",t
Why Anna write black beauty story ?,"Because she wanted people to understand that looking after horses was important , she write abook about allife of a working hourse which is black beauty . ",y
Who is farmer grey ?,He is Black Beauty’s first owner.,u
Who is Squire Gordon ?,The first owner who Black Beauty works for .,I
Who is Mrs Gordon ?,"She is Squire Gordon’s wife ,The first owner who Black Beauty works for .",o
Who is John ?,A kind man who is Squire Gordon’s helper . ,p
Who is Joe Green ?,A boy who helps john . ,a
Who is Earl Smythe ? ,A rich who buy Black Beauty from Squire Gordon,s
Who is Lady Smythe?,Earl Smeth’s wife .,d
Who is York ?,Earl Smeth’s helper .,f
Who is Merrylegs ?,"A short, fat horse who carries the childern at Squire Gordon’s.",g
what is Birwick Park ?,The country home of Squire Gordon .,j
What is Earlshall Park ? ,The country home of Earl Smythe .,k
What is the first place that Black Beauty ?,The first place Black Beauty lives in is a large field with alittle wood at the top where lived with his mother and some other horses .,l
With who Black Beauty Live at his first place ?,With his mother and some other horses .,z
What Black Beauty see if he stood at the to the field ?,he can see the Owner’s house .,x
Where and When was Anaa Sewell born?,She was born in England in 1820,v
What happened when she was a child?,She had an accident which badly damaged her legs. She could not walk.,b
What did Anna learn when she could not walk?,She learned to drive a horse and carriage.,n
Why did Anna love horses?,Because horses helped her to travel around.,m
How did Anna start to write books?,"She helped her mother, who wrote children's books.",qq
Why did Anna decide to write ?,Because she wanted people to understand that looking after horses was important,ww
"What did Anna Sewell write? What was ""Black Beauty"" story?", A book about the life of a working horse.,ee
"When did Anna write ""Black Beauty""?",in 1877.,rr
Who is the author of the story?,Anna Sewell.,tt
Who is the narrator of the story?,The horse ( Black Beauty).,yy
With whom did Black Beauty live?,With his mother and some horses.,uu
Who was the first owner of Black Beauty?,Farmer Grey.,ii
How was farmer Grey a good man?,He gave them healthy food and spoke kindly,oo
What did Black beauty and other horses use to do?,They used to have races,pp
What did Black Beauty learn to do?,He learnt how to pull a carriage.,aa
What did the biggest horses do when they got excited?,They kicked and bit other horses.,ss
What advice did Black Beauty’s mother give him?,Not to bite or kick even when just playing,dd
Describe Black Beauty when he grew up ?,"He grew tall, strong with a black coat with one white foot and a white star on his head",ff
What advice did his mother give when he grew up ?,"She said the harder he worked, the kinder people will be to him .",gg
When did farmer Grey decide to sell Black Beauty ?,When he got older.,hh
Who was the new or second owner of Black Beauty ?,He was Squire Gordon .,jj
Who looked after Black Beauty ?,"John Manly, Gordon’s kind helper",kk
Who were Black Beauty’s new friends ?,"Merrylegs who was small, fat jolly and gentle .Ginger who was tall with sad face",ll
Why did Ginger often kick and bite ?,"Because people weren’t nice to her in the
past.",zz
Why did Merrylegs make children laugh?,Because of the way he walked.,xx
What did the children bring black Beauty?,They brought him apples and nice things .,cc
Why didn’t the children visit the horses any more?,"Because they knew that Ginger bit
people",vv
What did Gordon’s wife say about Black Beauty?,He's very handsome.,bb
What name did the wife suggest for the horse?,Black Beauty,nn
What did Merrylegs say about Ginger?,He said that she was sometimes bad - tempered.,mm
What did Ginger say about people she worked with in the past?,She said that they were not kind and cruel..,qqq
What was Ginger’s problem with people?,Some people hit her hard when she refused to do things .,www
Why did the people decide to sell Ginger?,Because she started to bite and kick people .,eee
"For Ginger, How did she know that Gordon and John were different from other people?",They were kind and gentle with their horses .,rrr
What happened that made Ginger think that some people could be good?,When Gordon was angry with a man who hit the horse and said that a horse is not a machine,ttt
When did Ginger start to respect Gordon?,When he told one of his workers that a horse was not a machine,yyy
What did Ginger decide not to do?,She decided not to bite or kick people.,uuu
When would Ginger be as good as Black Beauty?,When people became kind to her,iii
What bad thing did Merrylegs do one day?,He threw children on the ground,ooo
Why did Merrylegs throw the children on the ground?,To teach them a lesson because they hit him with a stick.,ppp
Why was Merrylegs angry with older children?,Because they thought it was a machine and could continue without rest.,aaa
Why didn’t Merrylegs kick the children?,Because he didn’t want to hurt them and if he did so they would sell him to unkind people.,sss
Who was farmer Grey?,He was the first owner of Black Beauty,ddd
Why did Ginger often bite or kick people?,Because her first owners were not kind to her and they hit her hard,fff
Why did squire Gordon and his wife call the horse Black Beauty?,Because he was very handsome .,ggg
Where were Gordon and John going?,They were going on business,hhh
Why did Black Beauty like pulling the small carriage?,Because it was very light and easy to pull.,jjj
How was the weather during the business trip?,It was raining and windy,kkk
Why were the fields flooded with water?,Because it was raining.,lll
What did Black Beauty have while Gordon was doing his work?,He had a good rest,zzz
How did Black Beauty know that there was a real storm?,Because of the strong wind.,xxx
What fell across the road in front of them?,A big tree with a loud crash,ccc
"How were Gordon, John and Beauty Lucky?",The big tree didn’t fall on them.,vvv
Why couldn’t they go forward?,Because a tree was blocking their way,bbb
Why did they have to take a different way?,Because there was a big tree on the way.,nnn
Why did Black Beauty stop at the bridge?,Because he felt something was wrong.,mmm
What did Beauty think about the bridge?,"He thought it was not safe, but he couldn’t tell them.",qqqq
What did the man near the bridge say?,He shouted that the bridge was broken.,wwww
What would happen if they tried to cross the bridge?,They would fall into the river.,eeee
Why did John thank the man?,Because he saved them.,rrrr
Why did Gordon thank Black Beauty?,Because he saved them from falling into the river,tttt
Why did they have to take another road for the second time?,Because the bridge was broken.,yyyy
Why was Black Beauty pleased to be home?,Because he was safe and enjoyed food as he was tired.,uuuu
What did Gordon and his wife decide to do?,They decided to visit some friends,iiii
How far was it to Gordon friends’ home?,It was about sixty kilometers.,oooo
Who were pulling the carriage?,Black Beauty and Ginger,pppp
Why did they often stop before reaching the town?,They stopped to stay for the night and to feed and brush the horses,aaaa
 What was the young rider doing?,He was smoking a cigarette,ssss
What cause d the fire?,The Young rider’s cigarette.,dddd
Why was Ginger coughing ?,Because the air was filled with smoke.,ffff
What frightened Beauty and the horses even more?,Because the man carrying the lantern was worried.,gggg
What stopped Black Beauty from being frightened?,Because John came and spoke softly and was gentle with them.,hhhh
Who saved Ginger and How?,Black Beauty by calling out for her,jjjj
What happened to the building when the fire became bigger?,The building collapsed.,kkkk
Who came to put out the fire?,Some firefighters put it out after many hours,llll
Why do you think everyone was talking to John?,Because he was amazing and saved the horses,zzzz
"In Gordon friend’s opinion, What is one of the hardest things in life?",To move horses when there is a fire,xxxx
 Why did Black Beauty stop On the bridge?,Because he felt something was wrong,cccc
Why did Squire Gordon try to make Black Beauty cross the bridge?,Because he didn't know that the bridge was borken.,vvvv
How did Squire Godon feel when he f ound out that the bridge was broken?,He felt surprised as Black beauty was intelligent,bbbb
Who is Joe Green?,He is John’s new helper,nnnn
How old was Joe Green when he came to work?,He was fourteen years old.,mmmm
What did Squire Gordon ask John?,He asked him if he was sure he didn’t need someone older.,qqqqq
What did John say about Joe?,"He said that he was small, but he wanted to learn and was a hard worker.",wwwww
How old was John when he started work?,He was fourteen also.,eeeee
What was the similar thing between John and Joe?,They both started work at fourteen,rrrrr
Why did Gordon look after John?,Because he had no family,ttttt
What did John want to do with Joe?,He wanted to look after him as Gordon did with him.,yyyyy
What did Joe learn in the following weeks?,"He learnt to sweep the floor, bring food and wash the carriages",uuuuu
Why couldn’t Joe brush Beauty or Ginger?,Because he was too small,iiiii
On which horse did Joe Practise working first?,On Merrylegs.,ooooo
How did we know that Joe was a happy boy?,He was always singing,ppppp
What happened that stopped Joe from singing?,Mrs. Gordon became ill and he didn’t look after Beauty well.,aaaaa
Why did John ride Beauty as fast as he could?,To take a note to Dr. White as Mrs. Gordon was ill.,sssss
What did John say to the doctor and what did he give him?,He told him that Mrs. Gordon was ill. He gave him a note,ddddd
What did the doctor say?,"He said that he would come at once, but he didn’t have a horse",fffff
"In John’s opinion, what was the only way to save Mrs. Gordon?",The doctor could ride Black Beauty although he was tired.,ggggg
What do you think Beauty felt On the journey back?,I think he felt too tired and had no energy,hhhhh
How was Black Beauty when Joe took him inside?,All his hair was wet and he felt so hot,jjjjj
How did Joe lack experience?,He didn’t know what a horse needed after running,kkkkk
What does a horse need after running for a long way?,A horse need s to stay warm and drink warm water,lllll
Why it was a must to stay and watch a horse after running?,Because it was a dangerous time for a horse.,zzzzz
What should Joe have done?,He should have put a warm blanket on Black Beauty and shouldn’t have left him alone,ccccc
What happened to Black Beauty after Joe left him?,He felt cold and his body ached and it was difficult to breathe,vvvvv
What did John do to Black Beauty?,He covered him with blankets and gave him some hot water,bbbbb
Why was Joe angry?,Because he knew that Beauty was ill because he did the wrong thing with him,nnnnn
Was John angry with Joe?,"Yes, because he did the wrong thing with Beauty",mmmmm
Why was Gordon grateful to Black beauty?,Because he saved his wife,qqqqqq
What was the carriage full of?,It was full of heavy metal bars,wwwwww
Where were the metal bars taken?,They were taken to a nearby factory.,eeeeee
Why couldn’t the wheels move?,Because the carriage was so heavy.,rrrrrr
What did the driver do with the horses?,He was hitting them hard with a whip.,tttttt
What did Joe say to the driver?,He told him to stop hitting the horses.,yyyyyy
What did Joe offer the driver?,"To take some of the metal, but the man refused.",uuuuuu
 Where did Joe go after that?,He went to the factory and told the manager,iiiiii
What did the manager do after thanking Joe?,He went to find the carriage with the metal.,oooooo
What was John’s opinion about what Joe did?,He told him that he did the right thing,aaaaaa
What did the police do with the driver?,They sent him to prison for two or three months,ssssss
What changes that happened to Joe that made Beauty happy?,He learned from his mistakes and became a good worker,dddddd
What happened to Mrs. Gordon in the following years?,She became ill again and the doctor said that she needed a warmer climate,ffffff
Why was everybody sad?,Because Mr. Gordon decided to leave England.,gggggg
What happened to Gordon’s horses?,All of them were sold to new owners.,hhhhhh
To whom were Black Beauty and Ginger sold?,They were sold to Earl Smythe,jjjjjj
Who was Black Beauty third owner?,The third owner was Earl Smythe,kkkkkk
What did John tell York the new helper?,He told him that Black Beauty and Ginger were the best horses.,llllll
What did Black Beauty expect about his life and Ginger with Earl and lady Smythe?,He expected new difficulties.,zzzzzz
Why did John ride B lack Beauty as fast as he could to the town?,To bring Dr White as Mrs Gordon was ill,cccccc
What happened to Black Beauty when he got back home?,"He was very hot. Joe gave him cold water to drink,so he became sick.",vvvvvv
What did Joe do wrong?,He gave black beauty cold water and didn't put a blanket on him.,bbbbbb
When did Joe become happy again?,When John was pleased with him.,nnnnnn
Why did Squire Gordon sell his horses?,Because he was going to leave England as his wife was ill and needed to live in a warmer climate.,mmmmmm
Who is York?,He was the new helper at the home of Earl smythe.,qqqqqqq
Who is Earl Smythe ?,a rich man who buys Black Beauty from Squire Gordon. ,wwwwwww
Who is Lady Smythe ?,She is Earl Smythe’s wife,eeeeeee
Who is Lady Anne ?,She is Earl Smythe’s daughter,rrrrrrr
Who is Mr. Barry ?,A businessman. Black Beauty’s owner in Bath ,ttttttt
Who is Filcher ?,He is Mr. Barry’s helper ,yyyyyyy
Who is Jerry Barker ?,A kind taxi driver in London ,uuuuuuu
Who is Polly ?,She is Jerry’s wife,iiiiiii
Who is  Harry and Dolly ,They are Jerry’s children ,ooooooo
Who is Mrs. Fowler ?,She is a wealthy woman who has a house in the country ,ppppppp
Who is  Mr. Thoroughgood ?,An old farmer ,aaaaaaa
Who is  Willie ?,He is Mr. Thoroughgood’s grandson ,sssssss
Who is Miss Blomefield ?,She is a woman who lives in the country with her two sisters ,ddddddd
Who is Ginger ?,"Black Beauty’s friend, who has had a difficult past",fffffff
Who is Lizzie ?,A young horse at EarlShall Park,ggggggg
Who is Captain ?,"the horse who works with Black Beauty, driving taxis",hhhhhhh
How was the house of Earl Smythe at EarlShall Park? , It was big and modern.  ,jjjjjjj
Who liked to ride Black Beauty at EarlShall Park? ," The Earl’s daughter, Lady Anne with her brother and cousins",kkkkkkk
Which horse was with Black Beauty during the rides? ,"Ginger and sometimes the young horse, Lizzie.",lllllll
What did Lady Smythe always use Black Beauty for?,She used him to pull carriages.,zzzzzzz
What was Lady Smythe fond of?,She liked the latest fashion.,ccccccc
What was the latest fashion for horses at that time?,It was special reins for horses.,bbbbbbb
What did the reins force the horses to do?,They kept their heads high in the air.,nnnnnnn
How were the reins for Ginger and Beauty?,They were uncomfortable although Lady Smythe liked them.,mmmmmmm
What is impossible for a horse to do?,It is impossible to pull a carriage up a hill without head down.,qqqqqqqq
When will Ginger do what they ask?,If they don’t tighten the reins more,wwwwwwww
How did Black Beauty see the home and people?,He said the home was good and the people were good.,eeeeeeee
To whom was Beauty sold?,He was sold to a man in the town of Bath.,rrrrrrrr
How was Beauty taken to Bath?,He was taken on a train.,tttttttt
How did Beauty farewell Ginger?,He said goodbye.,yyyyyyyy
Where did the new owner live?,He lived in a small house in the town.,uuuuuuuu
What did the people hire from Beauty’s new owner in Bath?,They could hire horses for a day.,iiiiiiii
Why did the new owner let bad drivers take Beauty?,Because he knew that he would behave well.,aaaaaaaa
What did some riders do?,Some of them pulled the reins hard that it hurt Beauty’s mouth.,ssssssss
What didn’t some riders understand?,A horse couldn’t work when it had a stone in its foot.,dddddddd
Why did one of the riders complain that Beauty was a bad horse?,Because he couldn’t walk very fast.,ffffffff
Why couldn’t Beauty walk very fast one day?,Because he had a stone in its foot and it was painful.,gggggggg
Were all the riders in Bath bad?,"No, some of them were very good riders.",hhhhhhhh
What did the good rider ask Beauty’s owner?,He asked him to buy Beauty and he agreed.,jjjjjjjj
Who was the new owner in Bath? Who was his helper?,He was Mr. Barry and his helper was Filcher.,kkkkkkkk
What did the doctor advise Mr. Barry?,He advised him to ride a horse to keep healthy.,llllllll
How did Filcher change with Beauty?,"First he gave him good food, but began to give him less food each week.",zzzzzzzz
What happened to Beauty when Filcher gave him less food?,"He became hungry, felt exhausted and had less energy.",cccccccc
What false information did Filcher give to Mr. Barry?,He told Barry that horses often had less energy in the autumn,vvvvvvvv
Filcher was a liar. How?,He told Barry that horses often had less energy in the autumn,bbbbbbbb
What did Barry’s friend suggest?,He suggested giving the horse some good food.,nnnnnnnn
What did Barry’s friend advise him?,He advised him to watch his helper Filcher.,mmmmmmmm
Why did Barry’s friend advise him to watch his helper?,Because there were some men who would steal food even from animals.,qqqqqqqqq
What did Filcher do with Beauty’s food?,He put most of it in a basket and took it home,wwwwwwwww
Why did Filcher take most of the food home?,Because his family kept rabbits.,eeeeeeeee
What did Barry do when he discovered that Filcher was a thief?,He called the police and Filcher was arrested.,rrrrrrrrr
What did Barry decide to do at the end?,He decided to sell Beauty.,ttttttttt
Where was Beauty taken to be sold?,He was taken to a market for horses.,yyyyyyyyy
What did Beauty see in the market?,He saw horses of all shapes and sizes.,uuuuuuuuu
What worried Beauty in the market?,He saw very thin horses and was worried to be like them.,iiiiiiiii
What did the men do check Beauty?,"They opened his mouth, looked in his eyes and felt his skin.",ooooooooo
Who did Beauty hope to be his owner?,The man who felt his leg gently and spoke softly.,ppppppppp
What did the man tell Beauty?,He told him that they would be good for each other.,aaaaaaaaa
How much did the man pay for Beauty?,He paid twenty-four (24) pounds.,sssssssss
Who was Beauty’s owner in London?,He was Jerry.,ddddddddd
Show that the new owner was kind?,He gave Beauty food before he rode him to London.,fffffffff
Why did Beauty think that he would never arrive to London?,When winter came,ggggggggg
Did the taxi drivers have a holiday on the New Year?,Because it was longs and there were many streets.,hhhhhhhhh
Who ran out of the house when they reached London?,A woman and two children.,jjjjjjjjj
What did the girl ask her father when he arrived?,She asked if the horse was gentle.,kkkkkkkkk
How did the woman welcome Beauty?,She brought him food and water.,lllllllll
What were the new owners called?,They were Called Jerry and Polly.,zzzzzzzzz
How many children did Jerry and Polly have?,They had two a boy called Harry and a girl called Dolly.,ccccccccc
How old are the children?,Harry is twelve and Dolly is eight.,vvvvvvvvv
What did Jerry own?,He owned a taxi carriage and a horse called Captain.,bbbbbbbbb
When did Beauty take his turn to work?,In the afternoon.,nnnnnnnnn
How were Beauty’s new stable?,It was a comfortable stable.,mmmmmmmmm
What was Beauty’s opinion of Jerry?,He was a good driver and kind to him.,qw
What did the other drivers say about Beauty?,They said he was too handsome.,qe
Who came and studied Beauty? What did he say?,Mr. Grant studied him and said was good and would do well.,qr
How was the work on the first days?,It was difficult.,qt
Why wasn’t it easy for Beauty in London?,Because there was much noise and many people,qy
What made Beauty stop worrying about London?,He began to trust Jerry.,qu
What was Beauty given at the end of working days?,He was given good food and fresh water.,qi
Were Jerry‘s family kind to Beauty?,"Yes, very much and treated him well.",qo
How were Polly and Dolly when they came to see Beauty?,They were shy.,qp
In Beauty’s opinion who was the best owner he ever had?,Jerry was the best Owner.,qa
What did Jerry feel about his passengers?,He wasn’t always happy with his passengers.,qs
What did the two men ask him one day?,They asked him to go quickly as they were late and would give him an extra pound,qd
Did Jerry agree to take the extra pound?,"No, he refused and said he would take them at usual speed.",qf
Why did the other taxi driver say that Jerry wouldn’t go fast?,Because he loved his horse.,qg
What did Jerry say about the pound?,"He said that a pound wouldn’t help if the horse became tired and wouldn’t work for
the rest of the day",qh
How did Jerry use to drive Beauty?,He used to drive him carefully with a light pull rein.,qj
Why did Beauty always feel safe?,Because he trusted Jerry.,qk
What were not common for taxi drivers?,Holidays were not common for taxi drivers,ql
Why weren’t holidays common for most drivers?,Because many of them didn’t own their horses.,qz
Why did the drivers have to work many hours without a rest?,Because most of them hired their horses and wanted to get enough money.,qx
What did Beauty feel sorry for?,He felt sorry for both the horses and drivers.,qc
Why did Beauty feel sorry for the horses and the drivers?,Because they had to work long hours without a rest.,qv
Why was Beauty waiting outside the Park?,To take a family home.,qb
Which horse arrived outside the park?,"A very thin and old horse, Ginger.",qn
What happened to Ginger since their life at EarlShall Park?,A wealthy man bought Ginger then had many new owners.,qm
Why did the wealthy man sell Ginger?,Because she couldn’t run very fast.,wq
Why did the new owners pay less money for Ginger?,As She was old and couldn’t run fast,we
Why did the men who hired Ginger hit her?,Because she couldn’t go faster,wr
What did Beauty remind Ginger of?,She reminded her that she used to kick people who weren’t good to her.,wt
What habit does Ginger no longer do?,She no longer kicks because she is no longer strong,wy
Why did people make Ginger work longer hours?,Because life for them was difficult.,wu
What did people think about first?,They thought about their families before their horses.,wi
What did Ginger tell Beauty while leaving?,She told him that he was her best friend.,wo
Would Beauty see Ginger again?,"No, it was the last time and would never see her again.",wp
Did Beauty enjoy working with Jerry?,"Yes, very much although it wasn’t easy work.",wa
Jerry was a kind and helpful man. Discuss.,He took the poor woman and her son to hospital.,ws
What did the poor woman ask Jerry?,She asked him how to get to the hospital.,wd
How far was the hospital?,It was about five kilometers.,wf
What did Jerry offer the woman?,He offered to take her to the hospital for free,wg
What happened before the woman could get into the taxi?,Two men jumped up into the taxi.,wh
What did Jerry tell them?,What did Jerry tell them?,wj
What did they say to Jerry?,Their business was more important and the woman could wait.,wk
What did Jerry say?,He told them that they could stay in the taxi for as long as they wanted.,wl
What did the men do?,They got out of the taxi angrily.,wz
What happened after they went to the hospital?,They left the woman and her son there,wx
Who called them while they were leaving?,A wealthy woman.,wc
Why was the woman pleased?,Because they found Jerry Barker as it was difficult to find a taxi.,wv
Who is Mrs. Fowler?,A rich and kind woman,wb
Who is Rich man?,The man who made Jerry wait for more than an hour.,wn
Who is Mr. Thoroughgood?,An old farmer who owned Beauty after Skinner.,wm
Who is Skinner?,A greedy man who owned Beauty after Jerry.,eq
Who is Miss Blomefield?,Black Beauty’s last owner.,ew
 Who is Joe Green?,The boy who became now a young man,er
Who is Willie?,Mr. Thoroughgood’s grandson,et
How do you know that Fowler was kind and helpful?,When she told him that she could find him work if he had a problem.,ey
What was Fowler’s opinion of Jerry?,She said he was one of the best drivers.,eu
When did the holiday come?,When winter came.,ei
Did the taxi drivers have a holiday on the New Year?,"No, there was no holiday for them",eo
How was the weather while Beauty was waiting for the rich man?,It was very cold and there was snow.,ep
Why did the rich man have to apologize?,Because he made Jerry wait for more than an hour but he didn’t apologize.,ea
Why was the rich man angry?,Because he had to pay more money for the time Jerry waited.,es
Where did the rich man live?,In the west of London.,ed
How do you think waiting for the rich man changed Beauty Jerry’s lives?,Because Jerry would become ill and Beauty would be sold.,ef
How was Beauty when they arrived home that night?,He was cold and tired.,eg
How was Jerry that night?,He was coughing all the time.,eh
Why wasn’t Beauty put in the carriage?,Because Jerry was ill.,ej
How long wasn’t Beauty put in the carriage?,For three days.,ek
What did the doctor advise Jerry ?,He advised him not to drive taxis any more,el
Why did the doctor advise Jerry not to drive taxis?,To stay healthy.,ez
What did Polly do to help her ill husband?,She wrote to Mrs. Fowler to ask for work for Jerry.,ex
What did Fowler write back?,She said that she wanted Jerry to work for her.,ec
Where would Jerry and family live?,In a cottage near Fowler’s house.,ev
What was the bad news for Beauty?,Jerry would work for Mrs. Fowler.,eb
What would happen to Beauty when Jerry worked for Fowler?,He would be sold.,en
To whom was Beauty sold?,To a taxi driver called Skinner.,em
Who was Skinner?,He was the same man who made Ginger weak and sad.,rq
How was Beauty’s life with Skinner?,It was very bad as he worked for 7 days without rest or enough food.,rw
Where was Beauty put at the market?,He was put with old and ill-looking horses.,re
Why did Beauty think that no one would buy him?,Because he became old and ill.,rt
How were the people who looked at Beauty?,Most of Them were poor and wanted a horse for little money.,ry
Who also looked at Beauty?,An old farmer and his grandson.,ru
What did the boy say about Beauty?,He said that he looked kind and intelligent.,ri
What did the old farmer say?,He said that the horse was old.,ro
What did the man who took Beauty to the market say?,He said that Beauty was not too old and was used to drive taxis.,rp
How would Beauty be a good horse again?,With a little rest.,ra
Why was the grandson delighted?,Because his grandfather decided to buy Beauty.,rs
What was the new owner called?,He was called Mr. Thoroughgood.,rd
Where did Mr. Thoroughgood take Beauty?,To a large field where he was given good food.,rf
What was the grandson called?,He was called Willie.,rg
When did Beauty become well?,When spring came.,rh
Did Mr. Thoroughgood change his mind about Beauty?,"Yes, and said that he was pleased because Beauty was a good horse.",rj
What did the old farmer want?,He wanted to find a place for Beauty to work.,rk
Where did the old farmer take Beauty?,To the home of Miss Blomefield and her two sisters.,rl
What did Miss Blomefield need?,She needed a new horse.,rz
What did Miss Blomefield notice about Beauty?,He didn’t look well from his knees.,rx
What did the farmer say about Beauty’s past?,He said he had a difficult past and she would find a better horse than him.,rc
What did the farmer advise Miss Blomefield to do?,"To try Beauty. If she didn’t like him, would take him back.",rv
Who came to take Beauty to Miss Blomefield?,A young man.,rb
What did the young man say when he saw Beauty?,He said it had a white foot and a white star like Black Beauty.,rn
What did the Young man tell Black Beauty?,He told him that he was Joe Green.,rm
What did Joe discover about Beauty?,He said that not everyone treated him well.,tq
What did Joe tell Miss Blomefield about Beauty?,He told her that Beauty was one day Squire Gordon’s favourite horse,tw
Was Beauty happy with Miss Blomefield?,"Yes, he was happy to live in their place.",te
How long did he live with them?,He lived in that [lace for a year.,tr
How did Joe look after Beauty?,He looked after him well.,ty
How was Beauty’s work there and what did he feel?,He had easy work so he felt strong and healthy again.,tu
How did the story end for Beauty?,His troubles were over and he lived happily.,ti
